Model,ROC-AUC,Precision,Recall,F1-Score
Logistic Regression,0.8256971802185626,0.5149812734082397,0.7352941176470589,0.6057268722466961
Gradient Boosting,0.8254810504682379,0.531496062992126,0.7219251336898396,0.6122448979591836
Random Forest,0.8177948553354282,0.5576923076923077,0.6203208556149733,0.5873417721518988
XGBoost,0.8129157585765979,0.5481651376146789,0.6390374331550802,0.5901234567901235
